Name,Observations,Data_Type,Percent Missing,Unique Values,Min Value ,Max Value 
Inspection Date,Date when the inspection happened,V_WString,47.11444452,2309,10/30/2019,10/30/2019
Inspection Month,-,V_WString,47.11444452,90,19-Oct,19-Oct
Inspection Score,-,V_WString,47.11444452,59,0,100
Inspection Type,"Code indicating the inspection type, such as Routine, Follow-up, Complaint, Temporary and Mobile. ",V_WString,47.11444452,4,Routine,Complaint
Inspection Year,Year part of the Inspection date,V_WString,47.11444452,9,FY2020,FY2020
Lat Long Location,,V_WString,47.11444452,7824,907 ELM ST,"""4351 DALLAS FORT WORTH TPKE #110"
,Denotes a location point on a longitude line (perpendicular to the equator) and latitude line (parallel to the equator),,,,,
Restaurant Name,Name of the Restaurant,V_WString,0.014062814,21085,KFC,"(32.768615587000056, -96.82313404199994)"""
Street Address,Street Address of the restaurant ,V_WString,47.11444452,7824,605 ELM ST,50326 THE TRADITION-PRESTONWOOD ASSISTED LIVING AND MEMORY-4TH FL
Street Direction,"Direction of the Street (N,W,E,S)",V_WString,82.53465479,5,W,7932 S GREAT TRINITY FOREST WAY #101A
Street Name,Name of the street where the resturant is there,V_WString,47.11444452,843,TI,W
Street Number,Street number for the address of the facility.,V_WString,47.11444452,3444,0,MOUNTAIN CREEK PKWY #BU23
Street Type,"Street type for the address of the facility. For example, AVE, LN, ST, etc.",V_WString,48.23545168,20,RD,10295
Street Unit,Unit number or apartment number for the address of the facility.,V_WString,81.13105203,991,3,BLVD
Violation Description - 1,Description for the type of violation.,V_WString,51.51543561,624,*23 No Water,#3000
Violation Description - 10,Description for the type of violation.,V_WString,93.12462332,413,*23 No Water,*05 Reheat from 41Ã¸F to 165Ã¸F within 2 hours and/or Commercially processed RTE foods reheated from 4
Violation Description - 11,Description for the type of violation.,V_WString,95.38873636,378,*23 No Water,*05 Reheat from 41Ã¸F to 165Ã¸F within 2 hours and/or Commercially processed RTE foods reheated from 4
Violation Description - 12,Description for the type of violation.,V_WString,97.1385522,330,*23 No Water,*21 Person in charge. The person in charge shall ensure that Ãµ228.34 (1-15) Relating to Duties of PI
Violation Description - 13,Description for the type of violation.,V_WString,98.18254872,290,*23 No Water,*21 Person in charge. The person in charge shall ensure that Ãµ228.34 (1-15) Relating to Duties of PI
Violation Description - 14,Description for the type of violation.,V_WString,98.72162325,277,*23 No Water,*21 Person in charge. The person in charge shall ensure that Ãµ228.34 (1-15) Relating to Duties of PI
Violation Description - 15,Description for the type of violation.,V_WString,99.09931025,238,*45 First Aid,*09 Food protected cross contamination by preparing each type of food at different times or in separ
Violation Description - 16,Description for the type of violation.,V_WString,99.40065626,192,*45 First Aid,"*39 In-use utensils, between-use storage. During pauses in food preparation or dispensing, food prep"
Violation Description - 17,Description for the type of violation.,V_WString,99.62967923,177,*23 No Water,*05 Reheat from 41Ã¸F to 165Ã¸F within 2 hours and/or Commercially processed RTE foods reheated from 4
Violation Description - 18,Description for the type of violation.,V_WString,99.76294114,137,*45 First Aid,"*39 In-use utensils, between-use storage. During pauses in food preparation or dispensing, food prep"
